Date,ASELS.IS,SISE.IS,TUPRS.IS
2020-01-02,5.248263835906982,4.736390590667725,12.268352508544922
2020-01-03,5.296904563903809,4.683072566986084,12.047905921936035
2020-01-06,5.369863986968994,4.549778461456299,11.856213569641113
2020-01-07,5.452552795410156,4.549778461456299,11.779535293579102
2020-01-08,5.41850471496582,4.523119926452637,11.539918899536133
2020-01-09,5.559560298919678,4.683072566986084,11.990398406982422
2020-01-10,5.520648956298828,4.718618392944336,12.009566307067871
2020-01-13,5.56928825378418,4.7985944747924805,12.047905921936035
2020-01-14,5.6617045402526855,4.816366672515869,11.884965896606445
2020-01-15,5.588744640350342,4.807480335235596,11.837042808532715
2020-01-16,5.56928825378418,4.7985944747924805,11.731612205505371
2020-01-17,5.56928825378418,4.780822277069092,11.607010841369629
2020-01-20,5.613065242767334,4.7985944747924805,11.68368911743164
2020-01-21,5.617928981781006,4.816366672515869,11.645349502563477
2020-01-22,5.613065242767334,4.745276927947998,11.645349502563477
2020-01-23,5.559560298919678,4.656413555145264,11.568674087524414
2020-01-24,5.57415246963501,4.603096008300781,11.463241577148438
2020-01-27,5.676296234130859,4.523119926452637,11.108610153198242
2020-01-28,5.656840801239014,4.487574577331543,11.070272445678711
2020-01-29,5.666568279266357,4.469802379608154,10.945671081542969
2020-01-30,5.75412130355835,4.4164838790893555,11.04151725769043
2020-01-31,5.720073223114014,4.958547592163086,10.811485290527344
2020-02-03,5.686024188995361,4.967433929443359,10.773146629333496
2020-02-04,5.977865219116211,4.99409294128418,10.85940933227539
2020-02-05,5.929225444793701,4.896344184875488,10.93608570098877
2020-02-06,5.934088706970215,4.967433929443359,10.897747993469238
2020-02-07,5.938952445983887,4.914116382598877,10.840241432189941
2020-02-10,5.861129283905029,4.807480335235596,10.610208511352539
2020-02-11,6.021642208099365,4.851912498474121,10.811485290527344
2020-02-12,6.799881458282471,4.887457370758057,11.02234935760498
2020-02-13,6.863114833831787,4.825252532958984,10.75397777557373
2020-02-14,7.072266578674316,4.860798358917236,10.54311466217041
2020-02-17,7.018762588500977,4.816366672515869,10.734808921813965
2020-02-18,7.09658670425415,4.780822277069092,10.54311466217041
2020-02-19,7.252234935760498,4.780822277069092,10.638961791992188
2020-02-20,6.892298698425293,4.603096008300781,10.571868896484375
2020-02-21,7.018762588500977,4.611982345581055,10.696470260620117
2020-02-24,6.960394859313965,4.549778461456299,10.600625038146973
2020-02-25,7.067403316497803,4.603096008300781,10.49519157409668
2020-02-26,7.052811145782471,4.629754543304443,10.466439247131348
2020-02-27,6.833930492401123,4.505346775054932,9.862605094909668
2020-02-28,6.726922035217285,4.265417098999023,9.699666023254395
2020-03-02,6.867978096008301,4.40759801864624,9.728421211242676
2020-03-03,7.38356351852417,4.425370693206787,9.766758918762207
2020-03-04,7.252234935760498,4.4342570304870605,9.603818893432617
2020-03-05,7.38356351852417,4.4164838790893555,9.560688972473145
2020-03-06,7.252234935760498,4.2831902503967285,9.10541820526123
2020-03-09,6.741514682769775,3.9543967247009277,8.976024627685547
2020-03-10,6.337802410125732,3.847762107849121,8.870594024658203
2020-03-11,6.337802410125732,3.847762107849121,8.870594024658203
2020-03-12,5.938952445983887,3.4123342037200928,8.051106452941895
2020-03-13,6.182154178619385,3.590059995651245,8.204461097717285
2020-03-16,5.57415246963501,3.314584732055664,7.571874141693115
2020-03-17,5.321224689483643,3.296812057495117,6.987210273742676
2020-03-18,5.311496734619141,3.376788854598999,6.670916557312012
2020-03-19,5.126663684844971,3.421219825744629,6.431301116943359
2020-03-20,5.185031414031982,3.4478790760040283,6.584655284881592
2020-03-23,5.053703308105469,3.3412435054779053,6.6277852058410645
2020-03-24,5.554696559906006,3.50119686126709,7.0782647132873535
2020-03-25,5.6957526206970215,3.5456278324127197,7.212448596954346
2020-03-26,5.890312194824219,3.607832193374634,7.52394962310791
2020-03-27,5.608200550079346,3.527855634689331,7.327465534210205
2020-03-30,5.651976585388184,3.5100834369659424,7.140564441680908
2020-03-31,5.739529132843018,3.678922414779663,7.269958972930908
2020-04-01,5.564424514770508,3.7233541011810303,7.476027011871338
2020-04-02,5.617928981781006,3.7233541011810303,7.921713352203369
2020-04-03,5.656840801239014,3.7144672870635986,8.137368202209473
2020-04-06,5.778440475463867,3.803330659866333,8.175705909729004
2020-04-07,5.934088706970215,3.803330659866333,8.645354270935059
2020-04-08,6.060553073883057,3.803330659866333,8.712448120117188
2020-04-09,6.133513927459717,3.936624050140381,9.124588012695312
2020-04-10,6.1140570640563965,4.096578121185303,8.923310279846191
2020-04-13,6.065417289733887,4.123237133026123,8.674107551574707
2020-04-14,6.634506702423096,4.185440540313721,8.731616020202637
2020-04-15,6.386442184448242,4.105463981628418,8.3817777633667
2020-04-16,6.503177642822266,4.229872703552246,8.161330223083496
2020-04-17,6.59559440612793,4.336507320404053,8.3721923828125
2020-04-20,6.663689613342285,4.4164838790893555,8.333853721618652
2020-04-21,6.5566816329956055,4.496460437774658,8.094236373901367
2020-04-22,6.5274977684021,4.629754543304443,8.204461097717285
2020-04-24,6.478857517242432,4.603096008300781,8.21883773803711
2020-04-27,6.6831464767456055,4.585323333740234,8.228422164916992
2020-04-28,6.644233703613281,4.469802379608154,8.26676082611084
2020-04-29,6.6734185218811035,4.318735122680664,8.539922714233398
2020-04-30,6.610186576843262,4.345393657684326,8.664523124694824
2020-05-04,6.435081958770752,4.265417098999023,8.295514106750488
2020-05-05,6.5810017585754395,4.2387590408325195,8.31468391418457
2020-05-06,6.537225246429443,4.265417098999023,8.161330223083496
